name,owner,stars,created_at,updated_at,age_days,days_since_update,merged_pull_requests,total_releases,primary_language,total_issues,closed_issues,closed_issues_ratio
duckdb,duckdb,32261,2018-06-26T15:04:45Z,2025-08-24T20:55:29Z,2616,0,8214,51,C++,6127,5662,92.41
it-tools,CorentinTh,32254,2020-04-05T11:50:24Z,2025-08-24T18:43:07Z,1967,0,491,10,Vue,618,200,32.36
serenity,SerenityOS,32239,2018-12-02T19:28:41Z,2025-08-23T23:32:31Z,2457,0,19529,0,C++,4250,3522,82.87
agno,agno-agi,32238,2022-05-04T15:23:02Z,2025-08-24T20:59:35Z,1208,0,1754,86,Python,1271,1143,89.93
spaCy,explosion,32228,2014-07-03T15:15:40Z,2025-08-24T21:19:21Z,4070,0,3590,129,Python,5718,5550,97.06
beego,beego,32220,2012-02-29T02:32:08Z,2025-08-24T15:30:28Z,4925,0,1325,42,Go,3374,3366,99.76
directus,directus,32177,2012-12-12T01:35:36Z,2025-08-24T14:29:18Z,4638,0,8089,342,TypeScript,9360,9060,96.79
tiptap,ueberdosis,32169,2018-08-20T19:58:58Z,2025-08-24T21:08:51Z,2561,0,1260,899,TypeScript,3239,2540,78.42
my-tv,lizongying,32152,2023-12-04T12:18:39Z,2025-08-24T20:02:05Z,629,0,11,72,C,919,774,84.22
chatbot-ui,mckaywrigley,32147,2023-03-11T14:53:14Z,2025-08-24T21:10:24Z,897,0,280,0,TypeScript,993,817,82.28
Folo,RSSNext,32126,2024-04-08T03:23:35Z,2025-08-24T21:15:48Z,503,0,1256,71,TypeScript,2247,2046,91.05
run,The-Run-Philosophy-Organization,32104,2022-04-10T05:42:40Z,2025-08-24T20:34:35Z,1232,0,171,0,Unknown,256,214,83.59
cherry-studio,CherryHQ,32043,2024-05-24T01:56:26Z,2025-08-24T21:20:21Z,457,0,1950,192,TypeScript,6373,5833,91.53
tabby,TabbyML,32006,2023-03-16T09:18:01Z,2025-08-24T17:41:31Z,892,0,2969,241,Rust,937,733,78.23
etcher,balena-io,31977,2015-10-27T16:53:23Z,2025-08-24T15:36:16Z,3589,0,1731,289,TypeScript,2381,1823,76.56
nacos,alibaba,31970,2018-06-15T06:49:27Z,2025-08-24T17:36:12Z,2627,0,3156,84,Java,9155,8904,97.26
chatgpt-web,Chanzhaoyu,31939,2023-02-09T03:21:37Z,2025-08-24T16:48:03Z,927,0,159,43,Vue,1747,1747,100.0
yew,yewstack,31891,2017-12-16T14:19:02Z,2025-08-24T05:41:06Z,2808,0,1802,35,Rust,1256,1143,91.0
pathway,pathwaycom,31887,2022-11-27T13:01:14Z,2025-08-24T20:00:52Z,1001,0,5,75,Python,97,53,54.64
GPT_API_free,chatanywhere,31874,2023-04-23T12:42:08Z,2025-08-24T20:31:33Z,854,0,1,0,Python,377,353,93.63
swr,vercel,31852,2019-10-28T18:16:01Z,2025-08-24T15:01:16Z,2127,0,795,123,TypeScript,959,817,85.19
