API_Type,Response_Time_mean,Response_Time_std,Response_Size_mean,Response_Size_std
GraphQL,0.48861362334185593,0.06305511851381493,1097.0,0.0
REST,0.27808622671291233,0.02993137996648259,5129.0,0.0
