id,full_name,description,language,stargazers_count,forks_count,open_issues_count,pr_count
34526884,ant-design/ant-design,An enterprise-class UI design language and React UI library,TypeScript,96157,53637,1293,116
585146387,shadcn-ui/ui,"A set of beautifully-designed, accessible components and a code distribution platform. Works with your favorite frameworks. Open Source. Open Code.",TypeScript,95362,6777,1712,121
243950408,Anduin2017/HowToCook,程序员在家做饭方法指南。Programmer's guide about how to cook at home (Simplified Chinese only).,Dockerfile,94127,10586,441,101
33614304,nvbn/thefuck,Magnificent app which corrects your previous console command.,Python,94102,3767,393,119
65600975,pytorch/pytorch,Tensors and Dynamic neural networks in Python with strong GPU acceleration,Python,93462,25401,17022,158
16408992,neovim/neovim,Vim-fork focused on extensibility and usability,Vim Script,92994,6340,1998,109
22790488,iluwatar/java-design-patterns,Design patterns implemented in Java,Java,92747,27177,165,110
90796663,puppeteer/puppeteer,JavaScript API for Chrome and Firefox,TypeScript,92432,9291,281,104
311525798,microsoft/Web-Dev-For-Beginners,"24 Lessons, 12 Weeks, Get Started as a Web Developer",JavaScript,92031,14130,50,105
106017343,tailwindlabs/tailwindcss,A utility-first CSS framework for rapid UI development.,TypeScript,90313,4735,61,124
160919119,fastapi/fastapi,"FastAPI framework, high performance, easy to learn, fast to code, ready for production",Python,89812,7931,208,107
589831718,comfyanonymous/ComfyUI,"The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface.",Python,89314,9972,2947,115
214587193,supabase/supabase,"The Postgres development platform. Supabase gives you a dedicated Postgres database to build your web, mobile, and AI applications.",TypeScript,89102,9950,753,153
63539055,jaywcjlove/awesome-mac," Now we have become very big, Different from the original idea. Collect premium software in various categories.",JavaScript,88810,6752,154,110
54173593,storybookjs/storybook,"Storybook is the industry standard workshop for building, documenting, and testing UI components in isolation",TypeScript,87812,9690,2202,148
612230,nvm-sh/nvm,Node Version Manager - POSIX-compliant bash script to manage multiple active node.js versions,Shell,87152,9333,369,124
612354784,ggml-org/llama.cpp,LLM inference in C/C++,C++,86923,13144,920,143
612344730,ChatGPTNextWeb/NextChat,✨ Light and Fast AI Assistant. Support: Web | iOS | MacOS | Android |  Linux | Windows,TypeScript,85925,60961,775,102
1181927,bitcoin/bitcoin,Bitcoin Core integration/staging tree,C++,85689,37862,803,136
4164482,django/django,The Web framework for perfectionists with deadlines.,Python,85214,33010,350,145
20904437,gin-gonic/gin,"Gin is a high-performance HTTP web framework written in Go. It provides a Martini-like API but with significantly better performance—up to 40 times faster—thanks to httprouter. Gin is designed for building REST APIs, web applications, and microservices.",Go,85198,8386,872,117
5108051,opencv/opencv,Open Source Computer Vision Library,C++,84265,56296,2730,149
74293321,sveltejs/svelte,web development for the rest of us,JavaScript,84231,4628,885,120
26066727,mermaid-js/mermaid,Generation of diagrams like flowcharts or sequence diagrams from text in a similar manner as markdown,TypeScript,83122,8107,1448,103
12888993,home-assistant/core,:house_with_garden: Open source home automation that puts local control and privacy first.,Python,81560,35265,2793,134
32689863,3b1b/manim,Animation engine for explanatory math videos,Python,80736,6886,472,103
357728969,oven-sh/bun,"Incredibly fast JavaScript runtime, bundler, test runner, and package manager – all in one",Zig,80566,3337,5333,150
6296790,spring-projects/spring-boot,"Spring Boot helps you to create Spring-powered, production-grade applications and services with absolute minimum fuss.",Java,78526,41530,577,108
