name_with_owner,url,stargazer_count,primary_language,created_at,age,last_push,time_since_last_push,disk_usage_kb,size_formatted,name
crazycodeboy/TakePhoto,https://github.com/crazycodeboy/TakePhoto,7243,Java,2015-08-04T02:05:32Z,"10 anos, 1 meses",2019-08-26T09:42:27Z,"6 anos, 0 meses",11513,11.2 MB,TakePhoto
Exrick/xmall,https://github.com/Exrick/xmall,7231,Java,2017-07-28T01:49:49Z,"8 anos, 1 meses",2022-12-16T08:55:14Z,"2 anos, 8 meses",110866,108.3 MB,xmall
dependency-check/DependencyCheck,https://github.com/dependency-check/DependencyCheck,7176,Java,2012-09-03T20:43:30Z,"13 anos, 0 meses",2025-09-08T01:09:44Z,2 dias,296507,289.6 MB,DependencyCheck
NanoHttpd/nanohttpd,https://github.com/NanoHttpd/nanohttpd,7162,Java,2012-08-10T21:52:42Z,"13 anos, 1 meses",2023-07-25T06:59:07Z,"2 anos, 1 meses",1375,1.3 MB,nanohttpd
alibaba/jvm-sandbox,https://github.com/alibaba/jvm-sandbox,6920,Java,2017-08-03T02:55:31Z,"8 anos, 1 meses",2025-08-27T09:57:23Z,14 dias,1874,1.8 MB,jvm-sandbox
raphw/byte-buddy,https://github.com/raphw/byte-buddy,6607,Java,2013-11-25T19:38:03Z,"11 anos, 9 meses",2025-09-08T21:11:46Z,2 dias,1006594,983.0 MB,byte-buddy
haifengl/smile,https://github.com/haifengl/smile,6255,Java,2014-11-20T16:28:12Z,"10 anos, 9 meses",2025-09-07T15:43:50Z,3 dias,257829,251.8 MB,smile
obsidiandynamics/kafdrop,https://github.com/obsidiandynamics/kafdrop,5962,Java,2019-05-27T08:46:56Z,"6 anos, 3 meses",2025-09-08T16:23:42Z,2 dias,2940,2.9 MB,kafdrop
google/google-java-format,https://github.com/google/google-java-format,5917,Java,2015-05-11T20:38:28Z,"10 anos, 4 meses",2025-07-18T19:06:31Z,"1 meses, 24 dias",2177,2.1 MB,google-java-format
weibocom/motan,https://github.com/weibocom/motan,5896,Java,2016-04-20T10:56:17Z,"9 anos, 4 meses",2025-07-21T03:46:20Z,"1 meses, 21 dias",4641,4.5 MB,motan
apache/pinot,https://github.com/apache/pinot,5893,Java,2014-05-19T23:27:48Z,"11 anos, 3 meses",2025-09-10T14:27:36Z,0 dias,339273,331.3 MB,pinot
Nightonke/BoomMenu,https://github.com/Nightonke/BoomMenu,5804,Java,2016-03-19T12:04:12Z,"9 anos, 5 meses",2023-03-12T07:41:43Z,"2 anos, 6 meses",103934,101.5 MB,BoomMenu
alibaba/spring-ai-alibaba,https://github.com/alibaba/spring-ai-alibaba,5752,Java,2024-09-09T01:35:50Z,"1 anos, 0 meses",2025-09-10T05:21:44Z,0 dias,197386,192.8 MB,spring-ai-alibaba
