date,Players,Followers,Positive reviews,Negative reviews,Release,Sentiment,PositiveReviewCount,NegativeReviewCount
2025-04-03,-37404.33333333333,1590.6666666666642,-612.6666666666667,-4.166666666666671,3,0.5483096418732782,300.0,59.0
2025-04-04,4937.666666666657,2964.3333333333285,502.3333333333335,-52.999999999999986,3,0.5085797674418605,340.0,76.0
2025-04-05,15724.0,2724.333333333343,-317.3333333333335,25.999999999999986,0,0.47665350318471333,242.0,64.0
2025-04-06,1748.6666666666715,2094.3333333333285,472.0,22.333333333333343,0,0.4613462809917356,283.0,71.0
2025-04-07,-20521.33333333333,1456.6666666666715,-709.6666666666665,-8.0,0,0.47230383275261323,221.0,56.0
2025-04-08,-10954.0,1240.666666666657,299.0,3.0,4,0.45202009569377993,159.0,46.0
2025-04-09,-4824.6666666666715,1123.0,-199.66666666666674,3.666666666666657,1,0.5101882051282052,155.0,34.0
2025-04-10,-25215.194444444445,1033.0,-354.33333333333337,28.000000000000007,1,0.49501032608695655,148.0,32.0
2025-04-11,5013.944444444445,1022.6666666666715,131.33333333333337,-1.3333333333333357,4,0.44688531073446325,136.0,37.0
2025-04-12,14624.430555555562,1068.6666666666715,171.66666666666674,-27.33333333333333,0,0.46040684210526317,148.0,36.0
2025-04-13,-718.8888888888905,1181.3333333333285,-37.66666666666674,21.666666666666657,0,0.4652651515151515,154.0,40.0
2025-04-14,-19883.194444444453,1008.6666666666715,252.66666666666674,-7.0,1,0.5555848684210526,124.0,25.0
2025-04-15,-3130.569444444438,946.0,-715.0000000000001,30.333333333333336,4,0.4754910447761194,103.0,27.0
2025-04-16,-1406.3611111111168,808.3333333333285,172.0,-2.0,1,0.5296838235294118,104.0,24.0
2025-04-17,1900.652777777781,848.0,-69.33333333333326,4.333333333333336,3,0.4272731343283582,101.0,28.0
2025-04-18,7945.6111111111095,842.6666666666715,115.33333333333326,-20.666666666666664,1,0.4183808219178082,107.0,35.0
2025-04-19,3786.25,949.3333333333285,248.66666666666663,1.3333333333333286,0,0.4499495867768595,91.0,27.0
2025-04-20,-1329.2638888888905,893.6666666666715,-379.33333333333326,3.0,1,0.4772588607594937,121.0,31.0
2025-04-21,-9552.083333333328,850.0,152.66666666666663,-5.0,0,0.4446392857142857,126.0,38.0
2025-04-22,-7482.152777777781,877.666666666657,-225.0,12.333333333333336,2,0.4676941666666667,92.0,24.0
2025-04-23,-2280.0416666666642,754.0,25.0,-0.3333333333333357,0,0.32472708333333333,63.0,31.0
2025-04-24,-14.166666666671517,681.0,-64.33333333333326,0.6666666666666714,1,0.4657988505747127,70.0,16.0
2025-04-25,3698.6944444444453,677.333333333343,-22.0,5.666666666666664,3,0.5576634146341464,67.0,12.0
2025-04-26,9409.861111111117,728.3333333333285,57.66666666666663,-6.333333333333336,0,0.4415646551724138,87.0,26.0
2025-04-27,-937.5694444444453,709.0,40.33333333333337,7.333333333333336,0,0.39178623853211014,76.0,29.0
2025-04-28,-15150.88888888889,672.6666666666715,94.66666666666663,-16.333333333333336,2,0.37256741573033714,64.0,23.0
2025-04-29,-1957.7916666666642,602.0,-193.66666666666663,32.0,1,0.5354726027397261,60.0,9.0
2025-04-30,1106.1805555555547,581.666666666657,-124.00000000000006,-1.3333333333333357,0,0.35129589041095893,53.0,19.0
2025-05-01,6024.763888888883,637.333333333343,140.66666666666669,-9.666666666666668,1,0.42474285714285714,74.0,24.0
2025-05-02,93.91666666667152,624.3333333333285,23.33333333333337,-7.333333333333329,3,0.4483867346938775,73.0,22.0
2025-05-03,12535.055555555555,649.6666666666715,440.33333333333337,-5.666666666666671,0,0.4308828282828283,75.0,23.0
2025-05-04,-4679.414351851854,668.666666666657,-90.33333333333337,4.333333333333336,0,0.4898228813559322,93.0,19.0
2025-05-05,-12168.886574074073,610.0,-15.666666666666742,-17.333333333333336,2,0.52865,65.0,13.0
2025-05-06,-4723.4745370370365,552.6666666666715,-306.33333333333326,32.0,2,0.3763141304347826,63.0,26.0
2025-05-07,-729.0810185185182,516.0,1.6666666666666288,-6.0000000000000036,0,0.4047609375,46.0,15.0
2025-05-08,1771.3449074074088,503.0,110.66666666666663,4.333333333333336,0,0.4326963414634146,60.0,17.0
2025-05-09,4200.715277777774,500.6666666666715,-256.66666666666663,-8.333333333333336,1,0.5424346666666667,121.0,25.0
2025-05-10,7318.95690071179,537.0,52.66666666666663,4.666666666666671,0,0.5588384259259259,183.0,28.0
