genero,correlacao,p_valor
Action,-0.10887942737257807,0.35917411167280866
Adventure,-0.017487097086206205,0.7494431802579958
Casual,-0.024125229802074464,0.6566196884109927
Indie,0.03330623174326931,0.5393108188996095
Racing,0.1078501936398893,0.04625987791233086
Strategy,-0.07999453117070696,0.13986099401548946
